nid,noflower,yesflower,tpi_zone,hsev,year,inout,nobs,yof,ys,b_ub,target,flower_year
327,51,0,1,3,2018,outer,51,2014.0,4.0,burnt,229,2018
327,138,15,2,1,2018,outer,153,2014.0,4.0,burnt,229,2018
327,380,8,2,2,2018,outer,388,2014.0,4.0,burnt,229,2018
327,1353,35,2,3,2018,outer,1388,2014.0,4.0,burnt,229,2018
327,572,21,2,4,2018,outer,593,2014.0,4.0,burnt,229,2018
327,236,0,3,1,2018,outer,236,2014.0,4.0,burnt,229,2018
327,585,1,3,2,2018,outer,586,2014.0,4.0,burnt,229,2018
327,2762,13,3,3,2018,outer,2775,2014.0,4.0,burnt,229,2018
327,865,9,3,4,2018,outer,874,2014.0,4.0,burnt,229,2018
327,132,0,4,2,2018,outer,132,2014.0,4.0,burnt,229,2018
327,841,7,4,3,2018,outer,848,2014.0,4.0,burnt,229,2018
327,99,1,4,4,2018,outer,100,2014.0,4.0,burnt,229,2018
5360,138,0,1,1,2018,outer,138,2013.0,5.0,burnt,235,2018
5360,479,1,1,2,2018,outer,480,2013.0,5.0,burnt,235,2018
5360,516,5,1,3,2018,outer,521,2013.0,5.0,burnt,235,2018
5360,154,3,2,1,2018,outer,157,2013.0,5.0,burnt,235,2018
5360,210,3,2,2,2018,outer,213,2013.0,5.0,burnt,235,2018
5360,411,6,2,3,2018,outer,417,2013.0,5.0,burnt,235,2018
5360,77,0,3,1,2018,outer,77,2013.0,5.0,burnt,235,2018
5360,134,0,3,2,2018,outer,134,2013.0,5.0,burnt,235,2018
5360,77,0,3,3,2018,outer,77,2013.0,5.0,burnt,235,2018
5360,84,0,4,2,2018,outer,84,2013.0,5.0,burnt,235,2018
5360,123,0,4,3,2018,outer,123,2013.0,5.0,burnt,235,2018
4961,1594,226,1,1,2018,outer,1820,2007.0,11.0,burnt,237,2018
5369,95,37,1,1,2018,outer,132,2013.0,5.0,burnt,237,2018
5948,372,12,1,1,2018,outer,384,2011.0,7.0,burnt,237,2018
4961,860,15,1,2,2018,outer,875,2007.0,11.0,burnt,237,2018
5369,930,298,1,2,2018,outer,1228,2013.0,5.0,burnt,237,2018
5948,237,11,1,2,2018,outer,248,2011.0,7.0,burnt,237,2018
4961,130,2,1,3,2018,outer,132,2007.0,11.0,burnt,237,2018
5369,1139,257,1,3,2018,outer,1396,2013.0,5.0,burnt,237,2018
5948,51,1,1,3,2018,outer,52,2011.0,7.0,burnt,237,2018
5369,396,37,1,4,2018,outer,433,2013.0,5.0,burnt,237,2018
4961,430,11,2,1,2018,outer,441,2007.0,11.0,burnt,237,2018
5948,77,4,2,1,2018,outer,81,2011.0,7.0,burnt,237,2018
4961,1110,24,2,2,2018,outer,1134,2007.0,11.0,burnt,237,2018
5369,172,21,2,2,2018,outer,193,2013.0,5.0,burnt,237,2018
5948,233,8,2,2,2018,outer,241,2011.0,7.0,burnt,237,2018
4961,363,7,2,3,2018,outer,370,2007.0,11.0,burnt,237,2018
5369,251,23,2,3,2018,outer,274,2013.0,5.0,burnt,237,2018
5948,149,4,2,3,2018,outer,153,2011.0,7.0,burnt,237,2018
5369,157,12,2,4,2018,outer,169,2013.0,5.0,burnt,237,2018
4961,389,6,3,1,2018,outer,395,2007.0,11.0,burnt,237,2018
4961,791,16,3,2,2018,outer,807,2007.0,11.0,burnt,237,2018
5948,115,0,3,2,2018,outer,115,2011.0,7.0,burnt,237,2018
4961,338,6,3,3,2018,outer,344,2007.0,11.0,burnt,237,2018
5948,78,0,3,3,2018,outer,78,2011.0,7.0,burnt,237,2018
5369,55,2,3,4,2018,outer,57,2013.0,5.0,burnt,237,2018
4961,309,0,4,1,2018,outer,309,2007.0,11.0,burnt,237,2018
5948,64,1,4,1,2018,outer,65,2011.0,7.0,burnt,237,2018
4961,761,10,4,2,2018,outer,771,2007.0,11.0,burnt,237,2018
5948,52,3,4,2,2018,outer,55,2011.0,7.0,burnt,237,2018
4961,318,2,4,3,2018,outer,320,2007.0,11.0,burnt,237,2018
0,1646,41,1,1,2018,outer,1687,2004.0,14.0,unburnt,237,2018
0,446,4,2,1,2018,outer,450,2004.0,14.0,unburnt,237,2018
0,387,3,3,1,2018,outer,390,2004.0,14.0,unburnt,237,2018
0,973,9,4,1,2018,outer,982,2004.0,14.0,unburnt,237,2018
4169,42,10,2,1,2018,outer,52,2005.0,13.0,burnt,245,2018
4169,1249,27,2,3,2018,outer,1276,2005.0,13.0,burnt,245,2018
4169,218,2,2,4,2018,outer,220,2005.0,13.0,burnt,245,2018
4169,343,7,3,3,2018,outer,350,2005.0,13.0,burnt,245,2018
4169,391,0,3,4,2018,outer,391,2005.0,13.0,burnt,245,2018
5957,202,6,1,2,2018,outer,208,2011.0,7.0,burnt,246,2018
5957,486,22,2,1,2018,outer,508,2011.0,7.0,burnt,246,2018
5957,2196,45,2,2,2018,outer,2241,2011.0,7.0,burnt,246,2018
5957,1175,7,2,3,2018,outer,1182,2011.0,7.0,burnt,246,2018
5957,52,4,2,4,2018,outer,56,2011.0,7.0,burnt,246,2018
5957,915,0,3,1,2018,outer,915,2011.0,7.0,burnt,246,2018
5957,1073,13,3,2,2018,outer,1086,2011.0,7.0,burnt,246,2018
5957,854,4,3,3,2018,outer,858,2011.0,7.0,burnt,246,2018
5957,114,0,4,1,2018,outer,114,2011.0,7.0,burnt,246,2018
5957,54,0,4,2,2018,outer,54,2011.0,7.0,burnt,246,2018
5957,747,0,4,3,2018,outer,747,2011.0,7.0,burnt,246,2018
5957,186,0,4,4,2018,outer,186,2011.0,7.0,burnt,246,2018
0,1406,4,1,1,2018,outer,1410,2004.0,14.0,unburnt,246,2018
0,12606,302,2,1,2018,outer,12908,2004.0,14.0,unburnt,246,2018
0,12942,41,3,1,2018,outer,12983,2004.0,14.0,unburnt,246,2018
0,775,0,4,1,2018,outer,775,2004.0,14.0,unburnt,246,2018
229,92,6,2,2,2018,outer,98,2014.0,4.0,burnt,327,2018
229,164,3,3,1,2018,outer,167,2014.0,4.0,burnt,327,2018
229,1582,15,3,2,2018,outer,1597,2014.0,4.0,burnt,327,2018
229,146,5,3,3,2018,outer,151,2014.0,4.0,burnt,327,2018
229,61,2,3,5,2018,outer,63,2014.0,4.0,burnt,327,2018
5369,92,37,1,1,2018,outer,129,2013.0,5.0,burnt,334,2018
5948,372,12,1,1,2018,outer,384,2011.0,7.0,burnt,334,2018
5369,766,276,1,2,2018,outer,1042,2013.0,5.0,burnt,334,2018
5948,237,11,1,2,2018,outer,248,2011.0,7.0,burnt,334,2018
5369,841,220,1,3,2018,outer,1061,2013.0,5.0,burnt,334,2018
5948,51,1,1,3,2018,outer,52,2011.0,7.0,burnt,334,2018
5369,419,34,1,4,2018,outer,453,2013.0,5.0,burnt,334,2018
5948,81,4,2,1,2018,outer,85,2011.0,7.0,burnt,334,2018
5948,247,8,2,2,2018,outer,255,2011.0,7.0,burnt,334,2018
237,282,12,2,3,2018,outer,294,2013.0,5.0,burnt,334,2018
5369,386,9,2,3,2018,outer,395,2013.0,5.0,burnt,334,2018
5948,242,8,2,3,2018,outer,250,2011.0,7.0,burnt,334,2018
237,222,4,2,4,2018,outer,226,2013.0,5.0,burnt,334,2018
5369,194,13,2,4,2018,outer,207,2013.0,5.0,burnt,334,2018
5948,70,3,3,1,2018,outer,73,2011.0,7.0,burnt,334,2018
237,348,26,3,2,2018,outer,374,2013.0,5.0,burnt,334,2018
5948,186,3,3,2,2018,outer,189,2011.0,7.0,burnt,334,2018
237,1202,33,3,3,2018,outer,1235,2013.0,5.0,burnt,334,2018
5369,99,5,3,3,2018,outer,104,2013.0,5.0,burnt,334,2018
5948,299,13,3,3,2018,outer,312,2011.0,7.0,burnt,334,2018
237,1394,31,3,4,2018,outer,1425,2013.0,5.0,burnt,334,2018
5369,62,2,3,4,2018,outer,64,2013.0,5.0,burnt,334,2018
237,784,9,3,5,2018,outer,793,2013.0,5.0,burnt,334,2018
237,78,6,4,1,2018,outer,84,2013.0,5.0,burnt,334,2018
5948,201,12,4,1,2018,outer,213,2011.0,7.0,burnt,334,2018
237,213,25,4,2,2018,outer,238,2013.0,5.0,burnt,334,2018
5948,132,4,4,2,2018,outer,136,2011.0,7.0,burnt,334,2018
237,1073,38,4,3,2018,outer,1111,2013.0,5.0,burnt,334,2018
237,1852,44,4,4,2018,outer,1896,2013.0,5.0,burnt,334,2018
237,142,0,4,5,2018,outer,142,2013.0,5.0,burnt,334,2018
0,346,28,1,1,2018,outer,374,2004.0,14.0,unburnt,334,2018
0,300,9,2,1,2018,outer,309,2004.0,14.0,unburnt,334,2018
0,129,0,3,1,2018,outer,129,2004.0,14.0,unburnt,334,2018
0,607,2,4,1,2018,outer,609,2004.0,14.0,unburnt,334,2018
245,1070,19,2,1,2018,outer,1089,2013.0,5.0,burnt,349,2018
245,2667,43,2,2,2018,outer,2710,2013.0,5.0,burnt,349,2018
245,3996,57,2,3,2018,outer,4053,2013.0,5.0,burnt,349,2018
245,963,19,2,4,2018,outer,982,2013.0,5.0,burnt,349,2018
245,335,0,3,1,2018,outer,335,2013.0,5.0,burnt,349,2018
245,1120,3,3,2,2018,outer,1123,2013.0,5.0,burnt,349,2018
245,3140,25,3,3,2018,outer,3165,2013.0,5.0,burnt,349,2018
245,770,6,3,4,2018,outer,776,2013.0,5.0,burnt,349,2018
245,387,1,4,3,2018,outer,388,2013.0,5.0,burnt,349,2018
245,103,0,4,4,2018,outer,103,2013.0,5.0,burnt,349,2018
4380,2505,4,1,1,2018,outer,2509,2005.0,13.0,burnt,368,2018
4380,233,0,1,2,2018,outer,233,2005.0,13.0,burnt,368,2018
4380,5408,40,2,1,2018,outer,5448,2005.0,13.0,burnt,368,2018
5957,2098,44,2,1,2018,outer,2142,2011.0,7.0,burnt,368,2018
4380,1536,9,2,2,2018,outer,1545,2005.0,13.0,burnt,368,2018
5957,2210,23,2,2,2018,outer,2233,2011.0,7.0,burnt,368,2018
5957,245,3,2,3,2018,outer,248,2011.0,7.0,burnt,368,2018
4380,1852,21,3,1,2018,outer,1873,2005.0,13.0,burnt,368,2018
5957,2289,6,3,1,2018,outer,2295,2011.0,7.0,burnt,368,2018
4380,482,13,3,2,2018,outer,495,2005.0,13.0,burnt,368,2018
5957,1629,5,3,2,2018,outer,1634,2011.0,7.0,burnt,368,2018
5957,279,0,3,3,2018,outer,279,2011.0,7.0,burnt,368,2018
4380,406,2,4,1,2018,outer,408,2005.0,13.0,burnt,368,2018
5957,108,0,4,1,2018,outer,108,2011.0,7.0,burnt,368,2018
5957,816,1,4,2,2018,outer,817,2011.0,7.0,burnt,368,2018
5957,144,4,4,3,2018,outer,148,2011.0,7.0,burnt,368,2018
0,3706,91,1,1,2018,outer,3797,2004.0,14.0,unburnt,368,2018
0,12409,200,2,1,2018,outer,12609,2004.0,14.0,unburnt,368,2018
0,21198,128,3,1,2018,outer,21326,2004.0,14.0,unburnt,368,2018
0,4282,16,4,1,2018,outer,4298,2004.0,14.0,unburnt,368,2018
4379,269,7,1,1,2018,outer,276,2005.0,13.0,burnt,373,2018
4169,85,2,1,2,2018,outer,87,2005.0,13.0,burnt,373,2018
4169,962,34,1,3,2018,outer,996,2005.0,13.0,burnt,373,2018
4169,179,0,1,4,2018,outer,179,2005.0,13.0,burnt,373,2018
4169,1421,45,1,5,2018,outer,1466,2005.0,13.0,burnt,373,2018
4379,186,15,2,1,2018,outer,201,2005.0,13.0,burnt,373,2018
5628,181,0,2,1,2018,outer,181,2011.0,7.0,burnt,373,2018
5628,1753,28,2,2,2018,outer,1781,2011.0,7.0,burnt,373,2018
4169,887,68,2,3,2018,outer,955,2005.0,13.0,burnt,373,2018
5628,1131,11,2,3,2018,outer,1142,2011.0,7.0,burnt,373,2018
4169,1177,87,2,4,2018,outer,1264,2005.0,13.0,burnt,373,2018
4169,1295,45,2,5,2018,outer,1340,2005.0,13.0,burnt,373,2018
4169,52,13,3,1,2018,outer,65,2005.0,13.0,burnt,373,2018
5628,711,34,3,1,2018,outer,745,2011.0,7.0,burnt,373,2018
4169,44,13,3,2,2018,outer,57,2005.0,13.0,burnt,373,2018
5628,3250,51,3,2,2018,outer,3301,2011.0,7.0,burnt,373,2018
4169,228,85,3,3,2018,outer,313,2005.0,13.0,burnt,373,2018
5628,1969,6,3,3,2018,outer,1975,2011.0,7.0,burnt,373,2018
4169,1208,8,3,4,2018,outer,1216,2005.0,13.0,burnt,373,2018
5628,375,0,3,4,2018,outer,375,2011.0,7.0,burnt,373,2018
4169,630,15,3,5,2018,outer,645,2005.0,13.0,burnt,373,2018
5628,2816,116,4,1,2018,outer,2932,2011.0,7.0,burnt,373,2018
5628,1294,15,4,2,2018,outer,1309,2011.0,7.0,burnt,373,2018
5628,436,6,4,3,2018,outer,442,2011.0,7.0,burnt,373,2018
5628,203,0,4,4,2018,outer,203,2011.0,7.0,burnt,373,2018
245,2204,35,1,1,2018,outer,2239,2013.0,5.0,burnt,438,2018
245,2169,39,1,2,2018,outer,2208,2013.0,5.0,burnt,438,2018
6369,67,10,1,2,2018,outer,77,2015.0,3.0,burnt,438,2018
245,1945,53,1,3,2018,outer,1998,2013.0,5.0,burnt,438,2018
6369,238,10,1,3,2018,outer,248,2015.0,3.0,burnt,438,2018
245,461,14,1,4,2018,outer,475,2013.0,5.0,burnt,438,2018
6369,138,13,1,4,2018,outer,151,2015.0,3.0,burnt,438,2018
245,56,0,1,5,2018,outer,56,2013.0,5.0,burnt,438,2018
245,1039,37,2,1,2018,outer,1076,2013.0,5.0,burnt,438,2018
245,5949,70,2,2,2018,outer,6019,2013.0,5.0,burnt,438,2018
4169,164,0,2,2,2018,outer,164,2005.0,13.0,burnt,438,2018
6369,83,6,2,2,2018,outer,89,2015.0,3.0,burnt,438,2018
245,5311,100,2,3,2018,outer,5411,2013.0,5.0,burnt,438,2018
4169,610,1,2,3,2018,outer,611,2005.0,13.0,burnt,438,2018
6369,206,6,2,3,2018,outer,212,2015.0,3.0,burnt,438,2018
245,1207,38,2,4,2018,outer,1245,2013.0,5.0,burnt,438,2018
4169,120,0,2,4,2018,outer,120,2005.0,13.0,burnt,438,2018
6369,212,4,2,4,2018,outer,216,2015.0,3.0,burnt,438,2018
245,182,4,2,5,2018,outer,186,2013.0,5.0,burnt,438,2018
245,1030,3,3,1,2018,outer,1033,2013.0,5.0,burnt,438,2018
4169,181,7,3,1,2018,outer,188,2005.0,13.0,burnt,438,2018
245,4313,17,3,2,2018,outer,4330,2013.0,5.0,burnt,438,2018
4169,53,0,3,2,2018,outer,53,2005.0,13.0,burnt,438,2018
245,3575,21,3,3,2018,outer,3596,2013.0,5.0,burnt,438,2018
4169,1171,3,3,3,2018,outer,1174,2005.0,13.0,burnt,438,2018
6369,124,2,3,3,2018,outer,126,2015.0,3.0,burnt,438,2018
245,900,4,3,4,2018,outer,904,2013.0,5.0,burnt,438,2018
4169,1361,0,3,4,2018,outer,1361,2005.0,13.0,burnt,438,2018
6369,186,8,3,4,2018,outer,194,2015.0,3.0,burnt,438,2018
4169,341,1,3,5,2018,outer,342,2005.0,13.0,burnt,438,2018
245,1019,0,4,2,2018,outer,1019,2013.0,5.0,burnt,438,2018
245,1938,0,4,3,2018,outer,1938,2013.0,5.0,burnt,438,2018
6369,171,13,4,3,2018,outer,184,2015.0,3.0,burnt,438,2018
245,310,0,4,4,2018,outer,310,2013.0,5.0,burnt,438,2018
6369,366,9,4,4,2018,outer,375,2015.0,3.0,burnt,438,2018
5773,268,10,1,2,2018,outer,278,2010.0,8.0,burnt,458,2018
5773,1160,16,1,3,2018,outer,1176,2010.0,8.0,burnt,458,2018
5773,648,7,1,4,2018,outer,655,2010.0,8.0,burnt,458,2018
5773,513,9,1,5,2018,outer,522,2010.0,8.0,burnt,458,2018
5773,87,6,2,2,2018,outer,93,2010.0,8.0,burnt,458,2018
5773,569,9,2,3,2018,outer,578,2010.0,8.0,burnt,458,2018
5773,462,5,2,4,2018,outer,467,2010.0,8.0,burnt,458,2018
5773,515,3,2,5,2018,outer,518,2010.0,8.0,burnt,458,2018
5773,205,0,3,2,2018,outer,205,2010.0,8.0,burnt,458,2018
5773,950,4,3,3,2018,outer,954,2010.0,8.0,burnt,458,2018
5773,633,3,3,4,2018,outer,636,2010.0,8.0,burnt,458,2018
5773,295,3,3,5,2018,outer,298,2010.0,8.0,burnt,458,2018
5773,125,0,4,2,2018,outer,125,2010.0,8.0,burnt,458,2018
5773,907,6,4,3,2018,outer,913,2010.0,8.0,burnt,458,2018
5773,1446,6,4,4,2018,outer,1452,2010.0,8.0,burnt,458,2018
5773,780,0,4,5,2018,outer,780,2010.0,8.0,burnt,458,2018
5759,383,5,1,1,2018,outer,388,2010.0,8.0,burnt,627,2018
5759,575,4,1,2,2018,outer,579,2010.0,8.0,burnt,627,2018
5759,1504,5,1,3,2018,outer,1509,2010.0,8.0,burnt,627,2018
5759,514,9,1,4,2018,outer,523,2010.0,8.0,burnt,627,2018
5759,924,4,2,1,2018,outer,928,2010.0,8.0,burnt,627,2018
5759,1218,3,2,2,2018,outer,1221,2010.0,8.0,burnt,627,2018
5759,2001,8,2,3,2018,outer,2009,2010.0,8.0,burnt,627,2018
5759,571,2,2,4,2018,outer,573,2010.0,8.0,burnt,627,2018
5759,1625,9,3,1,2018,outer,1634,2010.0,8.0,burnt,627,2018
5759,1469,5,3,2,2018,outer,1474,2010.0,8.0,burnt,627,2018
5759,982,2,3,3,2018,outer,984,2010.0,8.0,burnt,627,2018
5759,305,2,3,4,2018,outer,307,2010.0,8.0,burnt,627,2018
5759,1643,19,4,1,2018,outer,1662,2010.0,8.0,burnt,627,2018
5759,2124,7,4,2,2018,outer,2131,2010.0,8.0,burnt,627,2018
5759,1742,7,4,3,2018,outer,1749,2010.0,8.0,burnt,627,2018
5759,595,14,4,4,2018,outer,609,2010.0,8.0,burnt,627,2018
0,4020,11,1,1,2018,outer,4031,2004.0,14.0,unburnt,627,2018
0,7709,14,2,1,2018,outer,7723,2004.0,14.0,unburnt,627,2018
0,4992,7,3,1,2018,outer,4999,2004.0,14.0,unburnt,627,2018
0,3877,17,4,1,2018,outer,3894,2004.0,14.0,unburnt,627,2018
5575,214,26,2,1,2018,outer,240,2009.0,9.0,burnt,635,2018
5945,1258,27,2,1,2018,outer,1285,2011.0,7.0,burnt,635,2018
5575,1114,80,2,2,2018,outer,1194,2009.0,9.0,burnt,635,2018
5945,601,4,2,2,2018,outer,605,2011.0,7.0,burnt,635,2018
5575,175,4,2,3,2018,outer,179,2009.0,9.0,burnt,635,2018
5945,112,8,2,3,2018,outer,120,2011.0,7.0,burnt,635,2018
5945,68,0,2,4,2018,outer,68,2011.0,7.0,burnt,635,2018
5575,1009,15,3,1,2018,outer,1024,2009.0,9.0,burnt,635,2018
5945,1832,4,3,1,2018,outer,1836,2011.0,7.0,burnt,635,2018
5575,3906,37,3,2,2018,outer,3943,2009.0,9.0,burnt,635,2018
5945,3082,7,3,2,2018,outer,3089,2011.0,7.0,burnt,635,2018
5945,374,2,3,3,2018,outer,376,2011.0,7.0,burnt,635,2018
5945,74,0,3,5,2018,outer,74,2011.0,7.0,burnt,635,2018
5945,719,11,4,1,2018,outer,730,2011.0,7.0,burnt,635,2018
5945,137,11,4,2,2018,outer,148,2011.0,7.0,burnt,635,2018
373,59,4,1,1,2018,outer,63,2014.0,4.0,burnt,636,2018
4379,324,1,1,1,2018,outer,325,2005.0,13.0,burnt,636,2018
373,210,45,1,2,2018,outer,255,2014.0,4.0,burnt,636,2018
4169,91,8,1,2,2018,outer,99,2005.0,13.0,burnt,636,2018
373,293,109,1,3,2018,outer,402,2014.0,4.0,burnt,636,2018
4169,1593,46,1,3,2018,outer,1639,2005.0,13.0,burnt,636,2018
4169,1617,67,1,4,2018,outer,1684,2005.0,13.0,burnt,636,2018
4169,4030,62,1,5,2018,outer,4092,2005.0,13.0,burnt,636,2018
373,482,52,2,1,2018,outer,534,2014.0,4.0,burnt,636,2018
640,929,48,2,1,2018,outer,977,2015.0,3.0,burnt,636,2018
4169,966,89,2,1,2018,outer,1055,2005.0,13.0,burnt,636,2018
4379,240,4,2,1,2018,outer,244,2005.0,13.0,burnt,636,2018
5628,167,0,2,1,2018,outer,167,2011.0,7.0,burnt,636,2018
373,2164,188,2,2,2018,outer,2352,2014.0,4.0,burnt,636,2018
640,6483,157,2,2,2018,outer,6640,2015.0,3.0,burnt,636,2018
4169,845,77,2,2,2018,outer,922,2005.0,13.0,burnt,636,2018
5628,1880,21,2,2,2018,outer,1901,2011.0,7.0,burnt,636,2018
373,2090,260,2,3,2018,outer,2350,2014.0,4.0,burnt,636,2018
640,4560,105,2,3,2018,outer,4665,2015.0,3.0,burnt,636,2018
4169,12922,353,2,3,2018,outer,13275,2005.0,13.0,burnt,636,2018
5628,1296,8,2,3,2018,outer,1304,2011.0,7.0,burnt,636,2018
640,148,10,2,4,2018,outer,158,2015.0,3.0,burnt,636,2018
4169,17112,345,2,4,2018,outer,17457,2005.0,13.0,burnt,636,2018
5628,156,2,2,4,2018,outer,158,2011.0,7.0,burnt,636,2018
640,57,21,2,5,2018,outer,78,2015.0,3.0,burnt,636,2018
4169,13577,281,2,5,2018,outer,13858,2005.0,13.0,burnt,636,2018
373,2010,58,3,1,2018,outer,2068,2014.0,4.0,burnt,636,2018
640,209,32,3,1,2018,outer,241,2015.0,3.0,burnt,636,2018
4169,202,24,3,1,2018,outer,226,2005.0,13.0,burnt,636,2018
5628,495,35,3,1,2018,outer,530,2011.0,7.0,burnt,636,2018
373,6366,71,3,2,2018,outer,6437,2014.0,4.0,burnt,636,2018
640,5379,73,3,2,2018,outer,5452,2015.0,3.0,burnt,636,2018
4169,599,36,3,2,2018,outer,635,2005.0,13.0,burnt,636,2018
5628,2319,37,3,2,2018,outer,2356,2011.0,7.0,burnt,636,2018
373,3554,47,3,3,2018,outer,3601,2014.0,4.0,burnt,636,2018
640,10011,117,3,3,2018,outer,10128,2015.0,3.0,burnt,636,2018
4169,7093,201,3,3,2018,outer,7294,2005.0,13.0,burnt,636,2018
5628,1905,6,3,3,2018,outer,1911,2011.0,7.0,burnt,636,2018
640,1582,43,3,4,2018,outer,1625,2015.0,3.0,burnt,636,2018
4169,15595,163,3,4,2018,outer,15758,2005.0,13.0,burnt,636,2018
5628,387,0,3,4,2018,outer,387,2011.0,7.0,burnt,636,2018
4169,11593,73,3,5,2018,outer,11666,2005.0,13.0,burnt,636,2018
373,666,9,4,1,2018,outer,675,2014.0,4.0,burnt,636,2018
640,451,4,4,1,2018,outer,455,2015.0,3.0,burnt,636,2018
5628,837,12,4,1,2018,outer,849,2011.0,7.0,burnt,636,2018
373,2061,33,4,2,2018,outer,2094,2014.0,4.0,burnt,636,2018
640,867,14,4,2,2018,outer,881,2015.0,3.0,burnt,636,2018
5628,261,2,4,2,2018,outer,263,2011.0,7.0,burnt,636,2018
373,406,0,4,3,2018,outer,406,2014.0,4.0,burnt,636,2018
640,2615,35,4,3,2018,outer,2650,2015.0,3.0,burnt,636,2018
4169,2168,29,4,3,2018,outer,2197,2005.0,13.0,burnt,636,2018
5628,282,0,4,3,2018,outer,282,2011.0,7.0,burnt,636,2018
640,665,10,4,4,2018,outer,675,2015.0,3.0,burnt,636,2018
4169,7489,48,4,4,2018,outer,7537,2005.0,13.0,burnt,636,2018
5628,453,0,4,4,2018,outer,453,2011.0,7.0,burnt,636,2018
4169,3432,6,4,5,2018,outer,3438,2005.0,13.0,burnt,636,2018
246,707,17,2,1,2018,outer,724,2013.0,5.0,burnt,638,2018
246,534,19,2,2,2018,outer,553,2013.0,5.0,burnt,638,2018
246,169,1,2,3,2018,outer,170,2013.0,5.0,burnt,638,2018
246,160,1,3,1,2018,outer,161,2013.0,5.0,burnt,638,2018
246,790,9,3,2,2018,outer,799,2013.0,5.0,burnt,638,2018
246,513,0,3,3,2018,outer,513,2013.0,5.0,burnt,638,2018
0,145,0,1,1,2018,outer,145,2004.0,14.0,unburnt,638,2018
0,11400,299,2,1,2018,outer,11699,2004.0,14.0,unburnt,638,2018
0,9256,24,3,1,2018,outer,9280,2004.0,14.0,unburnt,638,2018
0,329,0,4,1,2018,outer,329,2004.0,14.0,unburnt,638,2018
4169,90,0,1,1,2018,outer,90,2005.0,13.0,burnt,640,2018
4169,678,4,1,2,2018,outer,682,2005.0,13.0,burnt,640,2018
636,344,0,1,3,2018,outer,344,2015.0,3.0,burnt,640,2018
4169,1367,6,1,3,2018,outer,1373,2005.0,13.0,burnt,640,2018
636,242,1,1,4,2018,outer,243,2015.0,3.0,burnt,640,2018
4169,1382,13,1,4,2018,outer,1395,2005.0,13.0,burnt,640,2018
4169,915,7,1,5,2018,outer,922,2005.0,13.0,burnt,640,2018
636,169,6,2,1,2018,outer,175,2015.0,3.0,burnt,640,2018
4169,646,37,2,1,2018,outer,683,2005.0,13.0,burnt,640,2018
636,1859,44,2,2,2018,outer,1903,2015.0,3.0,burnt,640,2018
4169,853,16,2,2,2018,outer,869,2005.0,13.0,burnt,640,2018
636,7900,55,2,3,2018,outer,7955,2015.0,3.0,burnt,640,2018
4169,8138,306,2,3,2018,outer,8444,2005.0,13.0,burnt,640,2018
636,863,12,2,4,2018,outer,875,2015.0,3.0,burnt,640,2018
4169,10274,336,2,4,2018,outer,10610,2005.0,13.0,burnt,640,2018
4169,3278,91,2,5,2018,outer,3369,2005.0,13.0,burnt,640,2018
636,3676,46,3,2,2018,outer,3722,2015.0,3.0,burnt,640,2018
4169,342,9,3,2,2018,outer,351,2005.0,13.0,burnt,640,2018
636,11962,131,3,3,2018,outer,12093,2015.0,3.0,burnt,640,2018
4169,6696,108,3,3,2018,outer,6804,2005.0,13.0,burnt,640,2018
636,2281,24,3,4,2018,outer,2305,2015.0,3.0,burnt,640,2018
4169,12966,241,3,4,2018,outer,13207,2005.0,13.0,burnt,640,2018
636,196,0,3,5,2018,outer,196,2015.0,3.0,burnt,640,2018
4169,3355,32,3,5,2018,outer,3387,2005.0,13.0,burnt,640,2018
636,1261,2,4,2,2018,outer,1263,2015.0,3.0,burnt,640,2018
636,4863,19,4,3,2018,outer,4882,2015.0,3.0,burnt,640,2018
4169,1647,10,4,3,2018,outer,1657,2005.0,13.0,burnt,640,2018
636,1377,11,4,4,2018,outer,1388,2015.0,3.0,burnt,640,2018
4169,2961,9,4,4,2018,outer,2970,2005.0,13.0,burnt,640,2018
636,59,0,4,5,2018,outer,59,2015.0,3.0,burnt,640,2018
4169,700,0,4,5,2018,outer,700,2005.0,13.0,burnt,640,2018
373,1885,141,1,1,2018,outer,2026,2014.0,4.0,burnt,955,2018
4379,89,3,1,1,2018,outer,92,2005.0,13.0,burnt,955,2018
373,3744,204,1,2,2018,outer,3948,2014.0,4.0,burnt,955,2018
636,200,2,1,2,2018,outer,202,2015.0,3.0,burnt,955,2018
4169,74,2,1,2,2018,outer,76,2005.0,13.0,burnt,955,2018
327,54,2,1,3,2018,outer,56,2014.0,4.0,burnt,955,2018
373,3453,156,1,3,2018,outer,3609,2014.0,4.0,burnt,955,2018
636,2319,11,1,3,2018,outer,2330,2015.0,3.0,burnt,955,2018
4169,182,15,1,3,2018,outer,197,2005.0,13.0,burnt,955,2018
373,982,26,1,4,2018,outer,1008,2014.0,4.0,burnt,955,2018
636,379,5,1,4,2018,outer,384,2015.0,3.0,burnt,955,2018
4169,117,5,1,4,2018,outer,122,2005.0,13.0,burnt,955,2018
636,127,2,1,5,2018,outer,129,2015.0,3.0,burnt,955,2018
4169,2157,77,1,5,2018,outer,2234,2005.0,13.0,burnt,955,2018
327,141,16,2,1,2018,outer,157,2014.0,4.0,burnt,955,2018
373,1560,86,2,1,2018,outer,1646,2014.0,4.0,burnt,955,2018
636,573,27,2,1,2018,outer,600,2015.0,3.0,burnt,955,2018
